Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,mois_sortie,annee_sortie,titre_normalise,nom_du_realisateur
Shutter Island,3.8,4.4,132039,127770000.0,2010-02-24,137.0,31.0,80471.0,4605.0,2.0,2010.0,shutterisland,"De
Martin Scorsese"
Inception,4.1,4.5,143692,290948208.0,2010-07-21,148.0,24.0,110095.0,7212.0,7.0,2010.0,inception,"De
Christopher Nolan"
Harry Potter and the Deathly Hallows - Part 1,3.2,4.0,126693,291377000.0,2010-11-24,146.0,20.0,52676.0,2887.0,11.0,2010.0,harrypotterandthedeathlyhallowspart1,"De
David Yates"
Prince of Persia: The Sands of Time,2.6,3.1,126678,89981000.0,2010-05-26,126.0,22.0,26730.0,2133.0,5.0,2010.0,princeofpersiathesandsoftime,"De
Mike Newell"
The Book of Eli,2.4,3.3,128955,92524000.0,2010-01-20,109.0,20.0,10503.0,1144.0,1.0,2010.0,thebookofeli,"De
Albert Hughes,
Allen Hughes"
Robin Hood,3.4,3.2,126127,104516000.0,2003-02-15,140.0,21.0,26579.0,2213.0,2.0,2003.0,robinhood,"De
Ridley Scott"
Scott Pilgrim vs. the World,3.4,3.8,136370,30438315.0,2010-12-01,112.0,17.0,7227.0,705.0,12.0,2010.0,scottpilgrimvstheworld,"De
Edgar Wright"
Nanny McPhee and The Big Bang,2.5,2.8,140620,28531000.0,2010-03-31,109.0,12.0,1577.0,161.0,3.0,2010.0,nannymcpheeandthebigbang,"De
Susanna White"
How to Train Your Dragon,3.9,4.3,123534,216876000.0,2010-03-31,93.0,20.0,30334.0,1875.0,3.0,2010.0,howtotrainyourdragon,"De
Chris Sanders,
Dean DeBlois"
Black Swan,4.2,4.2,125828,105928217.0,2011-02-09,103.0,34.0,49076.0,3912.0,2.0,2011.0,blackswan,"De
Darren Aronofsky"
The Social Network,4.4,4.0,147912,94077470.0,2010-10-13,120.0,27.0,37343.0,2150.0,10.0,2010.0,thesocialnetwork,"De
David Fincher"
Tangled,3.8,4.2,135523,198526569.0,2010-12-01,101.0,24.0,29121.0,1409.0,12.0,2010.0,tangled,"De
Byron Howard,
Nathan Greno"
Percy Jackson And The Lightning Thief,2.5,2.6,128105,86103000.0,2010-02-10,122.0,12.0,20834.0,1362.0,2.0,2010.0,percyjacksonandthelightningthief,"De
Chris Columbus"
I Spit on Your Grave,,3.5,183144,,2011-09-13,107.0,,2258.0,397.0,9.0,2011.0,ispitonyourgrave,"De
Steven R. Monroe"
Knight and Day,2.9,3.0,145368,74844000.0,2010-07-28,100.0,16.0,17697.0,1419.0,7.0,2010.0,knightandday,"De
James Mangold"
The Fighter,3.9,4.1,126386,92931288.0,2011-03-09,113.0,25.0,8946.0,906.0,3.0,2011.0,thefighter,"De
David O. Russell"
127 Hours,3.2,3.9,174939,16845896.0,2011-02-23,94.0,28.0,24166.0,1574.0,2.0,2011.0,127hours,"De
Danny Boyle"
Alice in Wonderland,3.5,3.3,132663,333627878.0,2003-02-15,108.0,31.0,49168.0,3494.0,2.0,2003.0,aliceinwonderland,"De
Tim Burton"
Blue Valentine,3.6,3.7,131494,8211610.0,2011-06-15,114.0,18.0,4318.0,438.0,6.0,2011.0,bluevalentine,"De
Derek Cianfrance"
The Karate Kid,3.1,3.4,140603,174861447.0,2010-08-18,140.0,7.0,7807.0,879.0,8.0,2010.0,thekaratekid,"De
Harald Zwart"
Eat Pray Love,1.7,2.5,121807,79720000.0,2010-09-22,140.0,12.0,3336.0,478.0,9.0,2010.0,eatpraylove,"De
Ryan Murphy"
The Tourist,1.6,2.2,138752,65938000.0,2010-12-15,103.0,9.0,6625.0,762.0,12.0,2010.0,thetourist,"De
Florian Henckel von Donnersmarck"
Hereafter,2.7,2.6,140633,32175000.0,2011-01-19,128.0,29.0,10028.0,1673.0,1.0,2011.0,hereafter,"De
Clint Eastwood"
Remember Me,2.4,3.7,145331,18243000.0,2010-04-07,113.0,14.0,7723.0,1242.0,4.0,2010.0,rememberme,"De
Allen Coulter"
The Town,3.5,3.9,82376,90626556.0,2010-09-15,123.0,20.0,17877.0,1396.0,9.0,2010.0,thetown,"De
Ben Affleck"
Love and Other Drugs,2.2,3.1,147203,31683172.0,2010-12-29,112.0,11.0,5920.0,621.0,12.0,2010.0,loveandotherdrugs,"De
Edward Zwick"
Insidious,3.2,3.5,182603,52432623.0,2011-06-15,102.0,23.0,9483.0,1449.0,6.0,2011.0,insidious,"De
James Wan"
The Losers,,2.8,129368,22760516.0,2010-11-16,97.0,,1209.0,166.0,11.0,2010.0,thelosers,"De
Sylvain White"
The Last Airbender,1.9,2.1,125433,128971020.0,2010-07-28,103.0,16.0,8703.0,1475.0,7.0,2010.0,thelastairbender,"De
M. Night Shyamalan"
Legion,1.7,1.7,134196,39221554.0,2010-03-24,100.0,10.0,3070.0,551.0,3.0,2010.0,legion,"De
Scott Stewart (XX)"
The Expendables,2.8,2.9,140458,102050000.0,2010-08-18,105.0,17.0,23540.0,2219.0,8.0,2010.0,theexpendables,"De
Sylvester Stallone"
Faster,2.2,2.7,146402,22500498.0,2011-03-02,98.0,11.0,2052.0,278.0,3.0,2011.0,faster,"De
George Tillman Jr."
Red,2.8,3.4,146229,89505187.0,2010-11-17,111.0,18.0,9907.0,993.0,11.0,2010.0,red,"De
Robert Schwentke"
The Way Back,3.1,3.8,140000,1465000.0,2011-01-26,133.0,23.0,5364.0,826.0,1.0,2011.0,thewayback,"De
Peter Weir"
Diary of a Wimpy Kid,1.3,2.5,134533,63068000.0,2010-10-27,94.0,3.0,438.0,52.0,10.0,2010.0,diaryofawimpykid,"De
Thor Freudenthal"
Did You Hear About The Morgans?,3.0,1.9,140335,28346423.0,2010-01-20,103.0,12.0,2038.0,327.0,1.0,2010.0,didyouhearaboutthemorgans,"De
Marc Lawrence (II)"
The A-Team,3.2,3.2,133588,75207206.0,2010-06-16,114.0,16.0,18082.0,1462.0,6.0,2010.0,theateam,"De
Joe Carnahan"
TRON: Legacy,2.7,3.3,29233,169730000.0,2011-02-09,126.0,23.0,24671.0,2012.0,2.0,2011.0,tronlegacy,"De
Joseph Kosinski"
Kick-Ass,3.5,4.0,138730,47440000.0,2010-04-21,117.0,26.0,43492.0,3025.0,4.0,2010.0,kickass,"De
Matthew Vaughn"
Toy Story 3,4.7,4.4,126123,413450000.0,2010-07-14,100.0,22.0,41533.0,2452.0,7.0,2010.0,toystory3,"De
Lee Unkrich"
Clash of the Titans,2.9,2.3,127950,160965313.0,2010-04-07,106.0,14.0,26285.0,2523.0,4.0,2010.0,clashofthetitans,"De
Louis Leterrier"
Salt,2.7,2.9,130203,115218468.0,2010-08-25,101.0,17.0,18576.0,1561.0,8.0,2010.0,salt,"De
Phillip Noyce"
Iron Man 2,3.1,3.4,136190,311417007.0,2010-04-28,124.0,20.0,49510.0,2681.0,4.0,2010.0,ironman2,"De
Jon Favreau"
Piranha 3D,3.5,2.6,109173,24389000.0,2010-09-01,89.0,22.0,7577.0,1507.0,9.0,2010.0,piranha3d,"De
Alexandre Aja"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2.7,3.0,127922,101814753.0,2010-12-08,115.0,16.0,8552.0,747.0,12.0,2010.0,thechroniclesofnarniathevoyageofthedawntreader,"De
Michael Apted"
Never Let Me Go,3.1,3.4,144222,74594.0,2011-03-02,103.0,22.0,4119.0,502.0,3.0,2011.0,neverletmego,"De
Mark Romanek"
Despicable Me,3.4,4.0,140623,249709000.0,2010-10-06,95.0,23.0,25976.0,1229.0,10.0,2010.0,despicableme,"De
Chris Renaud,
Pierre Coffin"
Shrek Forever After,3.2,3.2,57212,237230000.0,2010-06-30,93.0,19.0,21492.0,1328.0,6.0,2010.0,shrekforeverafter,"De
Mike Mitchell (V)"
Unstoppable,3.0,3.1,129345,80023247.0,2010-11-10,95.0,20.0,4983.0,731.0,11.0,2010.0,unstoppable,"De
Tony Scott"
True Grit,4.0,3.9,145213,170418000.0,2011-02-23,110.0,29.0,19345.0,1619.0,2.0,2011.0,truegrit,"De
Ethan Coen,
Joel Coen"
Frozen,,2.8,143952,,2011-10-13,94.0,,933.0,222.0,10.0,2011.0,frozen,"De
Adam Green (VI)"
A Nightmare on Elm Street,1.5,2.2,133955,61701831.0,2010-05-12,95.0,14.0,4264.0,893.0,5.0,2010.0,anightmareonelmstreet,"De
Samuel Bayer"
Legend Of The Guardians - The Owls of Ga'Hoole,3.1,3.7,135561,53990000.0,2010-10-27,99.0,19.0,3026.0,447.0,10.0,2010.0,legendoftheguardianstheowlsofgahoole,"De
Zack Snyder"
Grown Ups,1.4,2.7,103306,158054590.0,2010-09-08,102.0,5.0,2907.0,336.0,9.0,2010.0,grownups,"De
Dennis Dugan"
Somewhere,3.0,2.4,145724,467990.0,2011-01-05,98.0,26.0,4048.0,794.0,1.0,2011.0,somewhere,"De
Sofia Coppola"
Megamind,3.1,3.5,127741,145400000.0,2010-12-15,95.0,21.0,5762.0,542.0,12.0,2010.0,megamind,"De
Tom McGrath"
Tucker and Dale vs Evil,3.7,3.8,176961,136543.0,2012-02-01,88.0,19.0,4983.0,635.0,2.0,2012.0,tuckeranddalevsevil,"De
Eli Craig"
Burlesque,2.2,3.6,48749,37733561.0,2010-12-22,100.0,13.0,2225.0,381.0,12.0,2010.0,burlesque,"De
Steven Antin"
Sex and the City 2,2.5,2.1,142555,94076942.0,2010-06-02,146.0,12.0,3584.0,696.0,6.0,2010.0,sexandthecity2,"De
Michael Patrick King"
Valentine's Day,2.5,2.5,143276,108943000.0,2010-02-17,123.0,13.0,7386.0,895.0,2.0,2010.0,valentinesday,"De
Garry Marshall"
Predators,2.5,2.4,142987,51088000.0,2010-07-14,107.0,14.0,7383.0,1270.0,7.0,2010.0,predators,"De
Nimród Antal"
Unthinkable,,3.4,124740,,2010-10-19,97.0,,1572.0,258.0,10.0,2010.0,unthinkable,"De
Gregor Jordan"
Machete,3.4,3.5,129815,25736000.0,2010-12-01,105.0,19.0,8461.0,961.0,12.0,2010.0,machete,"De
Robert Rodriguez,
Ethan Maniquis"
Wall Street: Money Never Sleeps,2.3,2.6,128600,51909000.0,2010-09-29,131.0,24.0,3641.0,496.0,9.0,2010.0,wallstreetmoneyneversleeps,"De
Oliver Stone"
The Next Three Days,2.9,3.7,147087,20376000.0,2010-12-08,133.0,21.0,3459.0,501.0,12.0,2010.0,thenextthreedays,"De
Paul Haggis"
Saw 3D - The Final Chapter,1.5,2.4,170148,45287175.0,2010-11-10,87.0,4.0,4141.0,730.0,11.0,2010.0,saw3dthefinalchapter,"De
Kevin Greutert"
Dear John,3.5,3.5,127381,78533000.0,2010-03-31,105.0,2.0,3241.0,339.0,3.0,2010.0,dearjohn,"De
Lasse Hallström"
Dog Pound,3.5,4.1,137312,196749.0,2010-06-23,91.0,22.0,5807.0,868.0,6.0,2010.0,dogpound,"De
Kim Chapiron"
Stone,1.9,1.5,145920,100826.0,2011-05-11,105.0,13.0,1591.0,305.0,5.0,2011.0,stone,"De
John Curran"
The Twilight Saga: Eclipse,2.6,2.5,143994,299633864.0,2010-07-07,124.0,22.0,23861.0,1923.0,7.0,2010.0,thetwilightsagaeclipse,"De
David Slade"
Devil,1.7,2.3,140302,33099560.0,2011-04-20,80.0,12.0,1730.0,283.0,4.0,2011.0,devil,"De
John Erick Dowdle"
Last Night,2.7,2.6,139326,324815.0,2011-02-16,92.0,17.0,3230.0,479.0,2.0,2011.0,lastnight,"De
Massy Tadjedin"
The Sorcerer's Apprentice,2.8,2.9,51407,60605526.0,2010-08-11,105.0,16.0,8653.0,1079.0,8.0,2010.0,thesorcerersapprentice,"De
Jon Turteltaub"
Takers,2.1,3.0,133340,56773203.0,2010-11-24,105.0,10.0,2245.0,311.0,11.0,2010.0,takers,"De
John Luessenhop"
Flipped,,3.9,147000,,2011-11-30,90.0,,599.0,48.0,11.0,2011.0,flipped,"De
Rob Reiner"
Green Zone,3.8,3.6,129054,34236000.0,2010-04-14,115.0,28.0,8411.0,1105.0,4.0,2010.0,greenzone,"De
Paul Greengrass"
Leap Year,2.1,3.2,139966,24723000.0,2010-08-11,100.0,7.0,1295.0,125.0,8.0,2010.0,leapyear,"De
Anand Tucker"
The Killer Inside Me,3.1,2.7,140586,141486.0,2010-08-11,120.0,22.0,2918.0,520.0,8.0,2010.0,thekillerinsideme,"De
Michael Winterbottom"
Winter's Bone,4.0,3.5,177805,4472000.0,2011-03-02,100.0,26.0,2426.0,368.0,3.0,2011.0,wintersbone,"De
Debra Granik"
Death at a Funeral,,2.4,142899,41463030.0,2010-10-06,90.0,,583.0,74.0,10.0,2010.0,deathatafuneral,"De
Neil LaBute"
The Way,2.8,3.9,134076,130929.0,2013-09-25,128.0,12.0,727.0,111.0,9.0,2013.0,theway,"De
Emilio Estevez"
Conviction,2.6,3.7,139611,6022823.0,2011-03-16,107.0,15.0,897.0,138.0,3.0,2011.0,conviction,"De
Tony Goldwyn"
Trust,3.3,3.6,174066,80672.0,2012-01-18,106.0,18.0,2119.0,356.0,1.0,2012.0,trust,"De
David Schwimmer"
Gulliver's Travels,1.7,1.8,140472,40973767.0,2009-02-03,85.0,13.0,1832.0,280.0,2.0,2009.0,gulliverstravels,"De
Rob Letterman"
All Good Things,,2.8,133805,,2011-11-22,120.0,,1413.0,150.0,11.0,2011.0,allgoodthings,"De
Andrew Jarecki"
How Do You Know,2.9,1.8,141694,28833657.0,2011-01-26,116.0,10.0,1347.0,227.0,1.0,2011.0,howdoyouknow,"De
James L. Brooks"
Due Date,3.1,3.3,169922,99231922.0,2010-11-10,95.0,17.0,9195.0,990.0,11.0,2010.0,duedate,"De
Todd Phillips"
Easy A,,3.4,145481,57249000.0,2011-06-15,92.0,,3546.0,266.0,6.0,2011.0,easya,"De
Will Gluck"
Dinner For Schmucks,1.7,1.4,53738,69204372.0,2010-11-10,104.0,3.0,877.0,151.0,11.0,2010.0,dinnerforschmucks,"De
Jay Roach"
Repo Men,2.6,3.1,129518,13108000.0,2010-07-14,111.0,5.0,3355.0,502.0,7.0,2010.0,repomen,"De
Miguel Sapochnik"
Edge of Darkness,2.3,2.3,136018,42193000.0,2010-02-17,117.0,20.0,2639.0,485.0,2.0,2010.0,edgeofdarkness,"De
Martin Campbell"
The Experiment,,3.1,121780,,2011-01-11,96.0,,1338.0,200.0,1.0,2011.0,theexperiment,"De
Paul Scheuring"
13,,2.3,139163,,2013-07-31,91.0,,729.0,106.0,7.0,2013.0,13,"De
Gela Babluani"
The Other Guys,3.3,2.5,144195,117693000.0,2010-10-27,107.0,18.0,5881.0,800.0,10.0,2010.0,theotherguys,"De
Adam McKay"
Let Me In,3.2,3.3,141529,11065000.0,2010-10-06,112.0,19.0,2387.0,465.0,10.0,2010.0,letmein,"De
Matt Reeves"
Backlight,,2.2,224226,,2013-11-20,107.0,,204.0,47.0,11.0,2013.0,backlight,"De
Fernando Fragata"
Get Him to the Greek,3.2,2.8,135821,60743000.0,2010-09-01,109.0,11.0,1860.0,240.0,9.0,2010.0,gethimtothegreek,"De
Nicholas Stoller"
Date Night,3.1,2.6,138726,96860000.0,2010-05-12,88.0,18.0,4338.0,601.0,5.0,2010.0,datenight,"De
Shawn Levy"
The Last Song,,3.7,145473,61240388.0,2010-11-03,103.0,,1922.0,180.0,11.0,2010.0,thelastsong,"De
Julie Anne Robinson"
Super,,3.4,172505,,2011-07-13,96.0,,1785.0,238.0,7.0,2011.0,super,"De
James Gunn"
Temple Grandin,,4.1,139630,,2018-07-15,107.0,,185.0,20.0,7.0,2018.0,templegrandin,"De
Mick Jackson"
The American,3.4,2.0,146714,34600000.0,2010-10-27,103.0,17.0,3420.0,762.0,10.0,2010.0,theamerican,"De
Anton Corbijn"
The Crazies,2.4,2.7,136101,36409000.0,2010-06-09,101.0,17.0,2427.0,458.0,6.0,2010.0,thecrazies,"De
Breck Eisner"
Skyline,1.5,1.5,183574,20950000.0,2010-12-15,93.0,4.0,4025.0,1088.0,12.0,2010.0,skyline,"De
Colin Strause,
Greg Strause"
Step Up 3-D,3.3,3.7,134514,39715304.0,2010-08-18,107.0,7.0,3089.0,419.0,8.0,2010.0,stepup3d,"De
Jon M. Chu"
The Back-Up Plan,2.2,2.4,141699,36526495.0,2010-05-19,107.0,5.0,2303.0,370.0,5.0,2010.0,thebackupplan,"De
Alan Poul"
Life As We Know It,2.3,3.3,147914,51630962.0,2010-12-08,114.0,9.0,3605.0,346.0,12.0,2010.0,lifeasweknowit,"De
Greg Berlanti"
Hot Tub Time Machine,2.2,2.6,141509,47623000.0,2010-10-06,99.0,5.0,876.0,133.0,10.0,2010.0,hottubtimemachine,"De
Steve Pink"
Fair Game,2.8,3.1,144111,8920000.0,2010-11-03,108.0,22.0,1557.0,263.0,11.0,2010.0,fairgame,"De
Doug Liman"
The Whistleblower,,3.9,146347,,2022-06-08,112.0,,288.0,48.0,6.0,2022.0,thewhistleblower,"De
Larysa Kondracki"
The Wolfman,3.1,2.4,110815,61442000.0,2010-02-10,103.0,14.0,4189.0,786.0,2.0,2010.0,thewolfman,"De
Joe Johnston"
She's Out of My League,2.6,2.7,132095,30122000.0,2010-06-23,104.0,7.0,1386.0,156.0,6.0,2010.0,shesoutofmyleague,"De
Jim Field Smith"
Meek's Cutoff,4.2,3.0,182539,55028.0,2011-06-22,104.0,19.0,590.0,114.0,6.0,2011.0,meekscutoff,"De
Kelly Reichardt"
Morning Glory,3.1,3.1,131841,30213000.0,2011-04-06,107.0,19.0,2915.0,380.0,4.0,2011.0,morningglory,"De
Roger Michell"
Vampires Suck,1.6,1.6,182900,35865445.0,2010-11-24,82.0,11.0,2144.0,351.0,11.0,2010.0,vampiressuck,"De
Jason Friedberg,
Aaron Seltzer"
Cop Out,1.7,1.7,144180,42564000.0,2010-06-23,100.0,10.0,1964.0,368.0,6.0,2010.0,copout,"De
Kevin Smith"
Charlie St. Cloud,1.4,3.4,145329,30356000.0,2010-11-10,99.0,8.0,2114.0,244.0,11.0,2010.0,charliestcloud,"De
Burr Steers"
Submarine,2.8,3.6,174643,49296.0,2011-07-20,107.0,14.0,1238.0,130.0,7.0,2011.0,submarine,"De
Richard Ayoade"
Kaboom,4.1,3.0,173662,182605.0,2010-10-06,86.0,23.0,4058.0,635.0,10.0,2010.0,kaboom,"De
Gregg Araki"
Tekken,,1.9,61044,,2010-09-23,87.0,,778.0,155.0,9.0,2010.0,tekken,"De
Dwight H. Little"
The Last Exorcism,2.9,1.7,179426,40870000.0,2010-09-15,87.0,18.0,2153.0,618.0,9.0,2010.0,thelastexorcism,"De
Daniel Stamm"
Womb,,3.4,143563,,2011-12-19,107.0,,158.0,16.0,12.0,2011.0,womb,"De
Bence Fliegauf"
Secretariat,,3.8,138660,57937000.0,2019-03-01,116.0,,194.0,19.0,3.0,2019.0,secretariat,"De
Randall Wallace"
The Debt,2.9,3.5,136044,30564766.0,2011-06-15,120.0,19.0,1771.0,243.0,6.0,2011.0,thedebt,"De
John Madden"
50/50,3.1,3.9,139824,33859000.0,2011-11-16,100.0,16.0,2908.0,275.0,11.0,2011.0,5050,"De
Jonathan Levine"
Mirrors 2,,1.8,171907,,2012-12-19,86.0,,258.0,37.0,12.0,2012.0,mirrors2,"De
Victor Garcia (VI)"
Letters to Juliet,,3.4,146575,52493000.0,2011-02-09,105.0,,998.0,95.0,2.0,2011.0,letterstojuliet,"De
Gary Winick"
The Company Men,3.3,3.4,139453,810000.0,2011-03-30,112.0,21.0,2385.0,343.0,3.0,2011.0,thecompanymen,"De
John Wells"
You don't know Jack,,3.9,169965,,2018-07-15,134.0,,325.0,48.0,7.0,2018.0,youdontknowjack,"De
Barry Levinson"
16 Wishes,,2.7,183226,,2019-04-01,85.0,,270.0,24.0,4.0,2019.0,16wishes,"De
Peter DeLuise"
The Runaways,3.6,3.7,141329,2987000.0,2010-09-15,106.0,20.0,2294.0,285.0,9.0,2010.0,therunaways,"De
Floria Sigismondi"
Little Fockers,2.3,2.6,126523,146542285.0,2010-12-22,105.0,13.0,4876.0,550.0,12.0,2010.0,littlefockers,"De
Paul Weitz"
Resident Evil: Afterlife,1.3,2.1,137903,58866846.0,2010-09-22,100.0,6.0,6332.0,1132.0,9.0,2010.0,residentevilafterlife,"De
Paul W.S. Anderson"
The Conspirator,3.5,3.7,171560,10932000.0,2011-11-24,,2.0,419.0,69.0,11.0,2011.0,theconspirator,"De
Robert Redford"
The Kids Are All Right,3.0,3.1,148352,19181000.0,2010-10-06,104.0,20.0,1395.0,205.0,10.0,2010.0,thekidsareallright,"De
Lisa Cholodenko"
The Bounty Hunter,2.1,2.0,141502,65573295.0,2010-04-14,101.0,10.0,2278.0,248.0,4.0,2010.0,thebountyhunter,"De
Andy Tennant"
Hop,2.1,2.5,145542,107823000.0,2011-07-06,95.0,15.0,1130.0,136.0,7.0,2011.0,hop,"De
Tim Hill"
Greenberg,3.6,2.1,136381,3400874.0,2010-04-28,105.0,22.0,1047.0,201.0,4.0,2010.0,greenberg,"De
Noah Baumbach"
Marmaduke,1.4,2.3,144405,30815126.0,2010-08-18,87.0,5.0,524.0,95.0,8.0,2010.0,marmaduke,"De
Tom Dey"
Tooth Fairy,2.0,2.1,134501,57260000.0,2010-06-09,101.0,2.0,646.0,50.0,6.0,2010.0,toothfairy,"De
Michael Lembeck"
Rabbit Hole,3.4,3.3,125315,965000.0,2011-04-13,92.0,24.0,1135.0,209.0,4.0,2011.0,rabbithole,"De
John Cameron Mitchell"
Killers,1.8,2.3,140136,46660000.0,2010-06-23,100.0,12.0,4207.0,595.0,6.0,2010.0,killers,"De
Robert Luketic"
Beginners,3.5,3.3,174327,4607418.0,2011-06-15,104.0,24.0,1894.0,282.0,6.0,2011.0,beginners,"De
Mike Mills"
Don't Be Afraid of the Dark,1.0,2.3,138449,23469000.0,2012-06-06,99.0,1.0,662.0,120.0,6.0,2012.0,dontbeafraidofthedark,"De
Troy Nixey"
Vanishing On 7th Street,,1.8,171853,,2011-06-01,91.0,,744.0,190.0,6.0,2011.0,vanishingon7thstreet,"De
Brad Anderson"
Starstruck,,3.1,187436,,2020-03-24,90.0,,209.0,22.0,3.0,2020.0,starstruck,"De
Michael Grossman"
The Bunny Game,,1.0,217905,,2013-03-06,76.0,,167.0,61.0,3.0,2013.0,thebunnygame,"De
Adam Rehmeier"
You Will Meet a Tall Dark Stranger,3.5,2.7,143664,2377000.0,2010-10-06,98.0,26.0,3684.0,558.0,10.0,2010.0,youwillmeetatalldarkstranger,"De
Woody Allen"
Jonah Hex,,1.6,130351,9144000.0,2011-02-02,80.0,,1393.0,209.0,2.0,2011.0,jonahhex,"De
Jimmy Hayward"
The Resident,1.4,1.8,141339,48935.0,2011-07-27,91.0,5.0,832.0,174.0,7.0,2011.0,theresident,"De
Antti Jokinen"
London Boulevard,2.3,2.5,142736,138288.0,2011-06-08,102.0,19.0,2209.0,300.0,6.0,2011.0,londonboulevard,"De
William Monahan"
Mother's Day,,3.3,138672,,2012-01-17,112.0,,531.0,119.0,1.0,2012.0,mothersday,"De
Darren Lynn Bousman"
It's Kind of a Funny Story,,3.7,171154,5802000.0,2017-07-29,101.0,,1305.0,127.0,7.0,2017.0,itskindofafunnystory,"De
Ryan Fleck,
Anna Boden"
Everybody's Fine,,3.4,135492,8855646.0,2015-08-15,99.0,,601.0,93.0,8.0,2015.0,everybodysfine,"De
Kirk Jones (II)"
Twelve,1.5,2.3,145533,183461.0,2010-09-08,95.0,13.0,1502.0,267.0,9.0,2010.0,twelve,"De
Joel Schumacher"
Welcome to the Rileys,2.9,3.8,141576,37306.0,2010-11-10,110.0,20.0,1292.0,204.0,11.0,2010.0,welcometotherileys,"De
Jake Scott"
Furry Vengeance,,1.7,142870,16811000.0,2010-07-21,92.0,,478.0,111.0,7.0,2010.0,furryvengeance,"De
Roger Kumble"
Scooby-Doo! Curse of the Lake Monster,,2.0,182100,,2018-02-02,79.0,,166.0,18.0,2.0,2018.0,scoobydoocurseofthelakemonster,"De
Brian Levant"
Extraordinary Measures,2.4,2.7,137255,11933000.0,2010-03-17,106.0,10.0,473.0,109.0,3.0,2010.0,extraordinarymeasures,"De
Tom Vaughan"
YellowBrickRoad,,1.4,193555,,2013-03-06,100.0,,151.0,46.0,3.0,2013.0,yellowbrickroad,"De
Jesse Holland,
Andy Mitton"
My Soul To Take,2.2,1.9,134192,13969000.0,2012-08-01,107.0,10.0,433.0,94.0,8.0,2012.0,mysoultotake,"De
Wes Craven"
Game of Death,,1.7,173784,,2011-02-22,98.0,,150.0,37.0,2.0,2011.0,gameofdeath,"De
Giorgio Serafini"
Stake Land,,3.1,186053,,2011-10-04,98.0,,521.0,120.0,10.0,2011.0,stakeland,"De
Jim Mickle"
Burning Bright,,2.9,182597,,2015-07-25,90.0,,117.0,25.0,7.0,2015.0,burningbright,"De
Carlos Brooks"
For Colored Girls,,3.9,172297,37248000.0,2012-03-20,133.0,,151.0,17.0,3.0,2012.0,forcoloredgirls,"De
Tyler Perry"
The Tortured,,2.7,174426,,2010-11-02,79.0,,218.0,67.0,11.0,2010.0,thetortured,"De
Robert Lieberman"
The Final,,2.3,185115,,2011-11-03,93.0,,134.0,39.0,11.0,2011.0,thefinal,"De
Joey Stewart"
Lottery Ticket,,3.2,170967,23505360.0,2017-12-17,99.0,,98.0,8.0,12.0,2017.0,lotteryticket,"De
Erik White"
Going The Distance,3.3,3.0,145107,16771305.0,2010-09-29,101.0,14.0,1731.0,256.0,9.0,2010.0,goingthedistance,"De
Nanette Burstein"
Stomp the Yard 2: Homecoming,,2.1,174347,,2018-06-15,84.0,,123.0,10.0,6.0,2018.0,stomptheyard2homecoming,"De
Rob Hardy"
Lemonade Mouth,,3.8,193513,,2011-10-19,103.0,,332.0,25.0,10.0,2011.0,lemonademouth,"De
Patricia Riggen"
The Switch,1.9,2.3,123257,26600152.0,2010-08-25,102.0,7.0,1446.0,205.0,8.0,2010.0,theswitch,"De
Josh Gordon,
Will Speck"
Batman: Under the Red Hood,,4.1,183831,,2012-11-15,75.0,,435.0,47.0,11.0,2012.0,batmanundertheredhood,"De
Brandon Vietti"
The Myth of the American Sleepover,,3.2,180591,,2015-06-04,93.0,,137.0,23.0,6.0,2015.0,themythoftheamericansleepover,"De
David Robert Mitchell"
Just Wright,2.5,3.2,145376,20800000.0,2011-05-11,100.0,2.0,287.0,22.0,5.0,2011.0,justwright,"De
Sanaa Hamri"
30 Days of Night: Dark Days,,1.4,172180,,2010-10-20,92.0,,358.0,106.0,10.0,2010.0,30daysofnightdarkdays,"De
Ben Ketai"
You Again,,2.8,145709,24697810.0,2015-01-01,105.0,,696.0,70.0,1.0,2015.0,youagain,"De
Andy Fickman"
Paranormal Activity 2,2.2,2.0,177503,83583230.0,2010-10-20,91.0,5.0,3928.0,803.0,10.0,2010.0,paranormalactivity2,"De
Tod Williams"
Alpha and Omega,1.8,2.4,135391,24087398.0,2010-10-20,88.0,10.0,470.0,81.0,10.0,2010.0,alphaandomega,"De
Anthony Bell,
Ben Gluck"
The Warrior's Way,,3.2,185083,4918000.0,2014-05-20,100.0,,259.0,66.0,5.0,2014.0,thewarriorsway,"De
Lee Sngmoo"
The Tempest,,1.9,139805,,2012-12-13,110.0,,77.0,17.0,12.0,2012.0,thetempest,"De
Julie Taymor"
And Soon the Darkness,,1.9,144376,,2023-11-20,,,376.0,64.0,11.0,2023.0,andsoonthedarkness,"De
Marcos Efron"
Death Race 2,,2.1,171199,,2011-03-01,100.0,,747.0,112.0,3.0,2011.0,deathrace2,"De
Roel Reiné"
The Dynamiter,3.6,3.9,190068,29851.0,2012-07-04,73.0,18.0,415.0,54.0,7.0,2012.0,thedynamiter,"De
Matthew Gordon"
